<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,10,20170106,13:20,170.2700000,170.4300000,169.8200000,169.8600000,1798510
SBER,10,20170106,13:30,169.8600000,170.4600000,169.5000000,170.1900000,1099560
SBER,10,20170106,13:40,170.1900000,170.2500000,169.9100000,170.0700000,828450
SBER,10,20170106,13:50,170.0700000,170.6900000,170.0700000,170.5900000,607680
SBER,10,20170106,14:00,170.5900000,170.6000000,169.8000000,169.8900000,436900
SBER,10,20170106,14:10,169.8500000,170.0600000,169.5100000,169.9400000,659940
SBER,10,20170106,14:20,169.9400000,170.4700000,169.7400000,170.4400000,434110
SBER,10,20170106,14:30,170.4300000,170.4300000,170.1800000,170.1800000,245720
SBER,10,20170106,14:40,170.1800000,170.7900000,170.1000000,170.5300000,611620
SBER,10,20170106,14:50,170.5100000,170.5200000,170.2800000,170.3400000,106710
SBER,10,20170106,15:00,170.3000000,170.4500000,170.0600000,170.3700000,206140
SBER,10,20170106,15:10,170.3600000,171.0500000,170.3200000,170.9100000,532210
SBER,10,20170106,15:20,170.9100000,171.0500000,170.6700000,170.7000000,344090
SBER,10,20170106,15:30,170.7300000,171.4500000,170.7300000,171.2100000,708360
SBER,10,20170106,15:40,171.2600000,171.3400000,170.8800000,171.0500000,298380
SBER,10,20170106,15:50,171.0300000,171.3600000,170.9700000,171.2500000,262180
SBER,10,20170106,16:00,171.2600000,171.8700000,171.1200000,171.6100000,1097870
SBER,10,20170106,16:10,171.6400000,171.6400000,171.2200000,171.5400000,316540
SBER,10,20170106,16:20,171.5800000,171.7000000,171.2500000,171.4800000,190450
SBER,10,20170106,16:30,171.4700000,171.7800000,171.1500000,171.4900000,564490
SBER,10,20170106,16:40,171.4900000,171.5400000,170.6100000,171.1200000,528110
SBER,10,20170106,16:50,171.0600000,171.2700000,170.9000000,170.9900000,328700
SBER,10,20170106,17:00,171.0300000,171.4900000,170.8000000,171.3100000,220080
SBER,10,20170106,17:10,171.3100000,171.5000000,171.2300000,171.3400000,174290
